,Expected_Return,Dividend_Yield,Volatility,Sharpe_Ratio,CVaR_95,Assets_Included,Pareto_Solutions
Aggressive Growth,0.23945579493305436,0.025806891149614843,0.10714634867481475,2.048187340467333,0.4842668389678813,28.0,100.0
Moderate Balanced,0.11119410082191454,0.03502986111444674,0.13040869318927434,0.699294645101274,0.19059099822935113,22.0,100.0
Conservative Income,0.06213976668002507,0.034292125172133946,0.11329577894768965,0.37194471913628513,0.003856038527124341,14.0,100.0
