Ticker,Aggressive Growth,Moderate Balanced,Conservative Income
AAPL,0.13524859592794763,0.020686082544672683,0.0
ABBV,0.13281995942912353,0.06818376461890883,0.0
AMD,0.0,0.0,0.0
AMZN,0.0018482836559576398,0.0,0.0
AVGO,0.12841472869480947,0.0,0.0
CME,0.05570348688360678,0.10036748641221427,0.0
COST,0.02440657038809941,0.022393784881049112,0.04807897065236246
FDIVX,0.0035233393178092185,0.10051029142005,0.12818478771418285
FXY,0.011104819146000715,0.020504667301989906,0.04809494236114927
GLD,0.0005974418696590964,0.020566514920482882,0.04807942987029448
GOOG,0.0015985451420310868,0.020297746117280052,0.0
HD,0.010491857125013377,0.020671120626903294,0.0
INTC,0.007055414113339596,0.0,0.0
KO,0.008316243256287346,0.05969055589832921,0.12804888264003253
META,0.01225260262376116,0.0,0.0
MSFT,0.09330340946511795,0.02021896964536329,0.0
NVDA,0.0,0.0,0.0
PEP,0.014795925567625344,0.09506971717130482,0.0485633193198832
PFE,0.13333566285495033,0.10045378468340899,0.0
PG,0.005415224773645447,0.04555850186521664,0.053980572894002876
SCHD,0.002380476881921251,0.02047619613577321,0.04809142927385314
SLV,0.00041896205558595375,0.021699547084683614,0.0
SPLB,0.014099400028491325,0.10002623423222694,0.1282001418045752
TLT,0.0005785961295135121,0.05624243082745054,0.12819177855995534
VDE,0.0029833414875811647,0.0,0.0
VEA,0.008000795821396336,0.022026530172610435,0.04808185090037489
VWO,0.03785974530055089,0.023380627004276067,0.04821724324891111
VYM,0.016631501472288115,0.020591293252083788,0.048110525194529866
WMT,0.001083093125706967,0.020384153183721346,0.04807612556589276
XOM,0.13573197746217933,0.0,0.0
